#{"t_start": 1732830348.7129197, "env_id": "None"}
r,l,t
-89.72271,5,1.206382
-86.66025,5,1.20827
-97.56741,3,1.208293
-92.16067,11,1.212168
-99.0552,3,1.212194
-96.86923,5,1.214061
-96.30649,3,1.214084
-101.0,2,1.215835
-86.855576,5,1.217603
-97.5102,2,1.219395
-100.79487,4,1.221426
-97.76723,2,1.221448
-89.93204,5,1.221461
-89.06553,5,1.223364
-46.503483,26,1.223392
-100.52528,2,1.225225
-97.97057,3,1.225248
-99.77358,2,1.228578
-97.83906,3,1.230327
-101.0,2,1.232066
-101.0,2,1.233823
-85.15869,8,1.235679
-100.93548,2,1.235701
-78.56958,10,1.239073
-89.09152,11,1.242418
-86.33805,7,1.24581
-97.04123,3,1.247576
-101.0,2,1.249444
-92.83123,8,1.249467
-98.75987,2,1.25124
-99.90051,2,1.252986
-98.394806,2,1.254752
-93.572235,4,1.256596
-100.60138,2,1.256619
-83.00315,11,1.258398
-97.25505,3,1.260169
-101.0,2,1.262297
-73.2131,15,1.262323
-94.85986,3,1.262336
-101.0,2,1.264382
-57.33448,23,1.264405
-97.00003,3,1.267868
-97.03098,3,1.267891
-97.01019,3,1.269612
-85.97607,5,1.271366
-98.217445,5,1.273124
-96.38757,4,1.274909
-101.0,2,1.276649
-101.0,2,1.278541
-82.02143,12,1.278563
-85.37153,7,1.280395
-88.79377,8,1.283877
-96.82686,3,1.2839
-95.01831,8,1.285659
-101.0,2,1.287715
-99.747055,2,1.287737
-86.80507,6,1.28775
-97.05659,3,1.292891
-96.32505,3,1.292914
-96.366104,3,1.292926
-101.0,2,1.296255
-82.3319,10,1.298001
-101.17511,4,1.299917
-97.94845,3,1.305192
-90.42605,14,1.305215
-90.67969,4,1.305228
-97.64801,3,1.307095
-85.090836,9,1.31068
-84.28082,13,1.310702
-95.84792,3,1.310714
-97.03104,3,1.315867
-94.5152,7,1.317732
-103.0,4,1.317754
-79.70185,9,1.321293
-85.88825,8,1.321316
-93.05646,4,1.323052
-94.31695,8,1.324798
-97.49041,3,1.328153
-93.55028,7,1.330008
-97.0065,3,1.330031
-85.246185,8,1.331755
-101.41924,7,1.333613
-96.71269,3,1.333635
-101.0,2,1.336996
-90.15622,5,1.338769
-92.64378,6,1.342333
-95.32209,5,1.342355
-101.0,2,1.342367
-100.13083,2,1.34583
-94.804634,5,1.345853
-87.02133,15,1.347691
-81.18437,10,1.347713
-100.21744,2,1.34953
-96.94484,4,1.349552
-95.52445,3,1.35129
-97.36465,3,1.354633
-91.29233,4,1.358196
-87.04827,5,1.358219
-87.47644,6,1.358231
-91.03869,10,1.359962
-101.0,2,1.361832
-98.97038,4,1.361855
-94.44355,4,1.367344
-96.5649,3,1.367372
-90.52865,4,1.369217
-82.292114,12,1.369239
-99.50399,8,1.372671
-99.63918,2,1.372694
-85.49722,9,1.374452
-99.12015,5,1.376307
-101.0,2,1.376329
-97.51208,3,1.378092
-101.0,2,1.37996
-95.12356,3,1.379982
-91.16054,9,1.383332
-97.22772,3,1.385095
-87.76554,5,1.386871
-96.29288,3,1.388726
-101.0,2,1.388748
-71.93607,12,1.390644
-82.37769,8,1.390666
-101.0,2,1.392388
-97.603645,3,1.395778
-81.120285,10,1.397545
-94.6247,6,1.399284
-97.47368,3,1.401184
-87.10423,6,1.401206
-101.0,2,1.404635
-89.810074,7,1.406606
-101.0,2,1.406629
-101.0,2,1.406641
-84.40516,11,1.408499
-99.03554,2,1.408521
-101.0,2,1.411844
-90.941536,8,1.413818
-94.13805,4,1.413841
-103.0,4,1.413853
-94.77772,3,1.41773
-98.45828,2,1.417753
-93.16907,4,1.421166
-89.19315,6,1.424626
-101.0,2,1.424649
-98.731865,2,1.428097
-98.583374,2,1.428119
-85.204414,9,1.433014
-69.54341,11,1.436447
-97.42736,2,1.436469
-81.243004,18,1.438428
-95.79623,6,1.438451
-78.1304,17,1.438463
-101.0,2,1.440215
-85.73533,8,1.441961
-92.93331,4,1.443808
-97.01023,3,1.443831
-98.67467,3,1.445668
-98.502525,2,1.44569
-89.299355,5,1.447432
-100.28901,4,1.450759
-91.07969,4,1.452499
-86.28151,9,1.454234
-92.24213,6,1.455957
-93.40955,4,1.4594
-88.21432,8,1.46128
-91.15604,4,1.461302
-90.70789,12,1.465024
-101.0,2,1.465052
-92.63626,6,1.471584
-101.0,2,1.474894
-84.77711,9,1.479875
-97.25416,3,1.479898
-94.40142,10,1.481667
-75.99673,15,1.485025
-93.34434,4,1.488395
-72.40704,24,1.491977
-99.399536,2,1.492
-73.161026,21,1.492013
-86.74511,9,1.495317
-98.225685,5,1.500435
-89.609535,5,1.500458
-94.17647,7,1.503929
-99.03219,2,1.503952
-85.1486,6,1.507366
-95.34368,3,1.510972
-76.43555,14,1.510994
-101.0,2,1.511006
-101.0,2,1.51448
-91.175156,5,1.514503
-97.04779,3,1.516347
-90.57499,8,1.51637
-101.0,2,1.518508
-96.95572,3,1.522031
-93.676575,4,1.523817
-93.734024,7,1.527145
-94.379166,4,1.529112
-94.78854,6,1.529135
-57.264812,27,1.529146
-94.062454,3,1.53246
-103.71228,6,1.534247
-93.05115,4,1.536104
-93.990616,4,1.536126
-98.974434,2,1.539571
-93.99679,4,1.539593
-93.707825,8,1.543068
-101.0,2,1.543091
-98.427895,5,1.544842
-101.0,2,1.548334
-97.39299,3,1.548357
-92.36247,6,1.550105
-72.93964,11,1.553562
-73.48613,24,1.553585
-93.07753,4,1.555534
-89.91373,4,1.555556
-97.21246,3,1.555568
-84.2154,8,1.5575
-101.0,2,1.559347
-97.01873,3,1.561252
-101.0,2,1.561275
-90.7206,6,1.566561
-86.04311,7,1.566588
-97.26864,3,1.571571
-90.87832,7,1.573319
-92.26309,9,1.575086
-97.29446,3,1.57683
-85.06972,9,1.58178
-96.581276,5,1.585079
-81.90924,17,1.590301
-83.01294,10,1.590323
-84.58428,9,1.590335
-95.449844,3,1.590344
-96.80374,6,1.592083
-73.555374,23,1.59397
-101.0,2,1.593993
-97.0751,3,1.595955
-96.15825,3,1.595977
-101.0,2,1.597803
-97.62309,3,1.597826
-99.02329,4,1.60275
-101.0,2,1.60606
-98.9464,8,1.609471
-87.06324,8,1.612822
-97.13625,3,1.614572
-95.36732,3,1.617884
-54.70365,16,1.619922
-80.546814,12,1.619946
-97.22144,3,1.619958
-100.58998,2,1.621745
-99.88099,2,1.623487
-80.059525,10,1.625342
-96.89519,3,1.625365
-65.8344,17,1.627106
-93.8575,4,1.628942
-89.089905,5,1.628965
-101.0,2,1.632388
-97.02509,3,1.63241
-91.91428,5,1.634161
-99.35157,2,1.635915
-90.04848,7,1.637721
-100.10199,2,1.639567
-88.83907,9,1.63959
-89.936584,7,1.641414
-89.845825,4,1.641437
-101.0,2,1.643196
-86.36642,7,1.64494
-96.2941,3,1.646714
-90.65558,6,1.648561
-93.44582,3,1.648583
-97.26571,3,1.650331
-93.436066,3,1.652083
-85.425385,7,1.653832
-80.84575,9,1.655555
-95.83417,6,1.659013
-99.24119,4,1.659036
-97.39389,3,1.664143
-101.0,2,1.667593
-72.117676,13,1.671033
-81.321945,10,1.671056
-93.2617,8,1.672791
-78.83215,14,1.674582
-101.0,2,1.678096
-97.22396,3,1.678118
-78.08661,14,1.679959
-88.41491,7,1.679982
-80.9051,8,1.684909
-94.83101,4,1.686658
-89.31744,5,1.688511
-101.0,2,1.688534
-101.0,2,1.690302
-101.0,2,1.692044
-95.49757,4,1.695617
-97.24694,3,1.69564
-85.179695,14,1.695652
-106.85081,11,1.697485
-96.89147,3,1.697507
-99.1797,2,1.699234
-97.10839,3,1.701082
-77.69976,13,1.701105
-91.717026,4,1.707672
-94.98247,6,1.712884
-94.33511,9,1.716189
-97.00079,3,1.721092
-71.740295,14,1.722912
-101.0,2,1.724674
-90.29983,10,1.726443
-101.0,2,1.728246
-85.95844,10,1.72999
-96.64748,3,1.73188
-66.54649,19,1.731903
-97.26782,3,1.735254
-99.49701,2,1.738858
-86.195076,6,1.738881
-89.45984,8,1.745455
-91.22179,5,1.747218
-73.77096,12,1.752124
-99.006935,5,1.753987
-73.52489,18,1.75401
-95.14456,5,1.760552
-47.33166,38,1.762408
-79.55844,9,1.762436
-82.01916,15,1.764325
-90.454544,6,1.764349
-99.96013,2,1.766218
-99.46688,2,1.768315
-95.01615,3,1.768338
-97.32323,2,1.768351
-89.51684,8,1.76836
-101.0,2,1.771702
-98.84277,4,1.773563
-90.29859,7,1.773585
-90.07724,5,1.777003
-101.0,2,1.777026
-93.151596,3,1.778762
-96.89641,7,1.780546
-96.14409,3,1.782423
-101.0,2,1.782445
-82.72176,9,1.784176
-97.67426,3,1.787541
-85.85161,5,1.790879
-88.98377,7,1.792625
-83.613556,12,1.797537
-90.65613,8,1.800872
-58.789852,18,1.80271
-94.92501,11,1.802733
-87.37838,8,1.804477
-93.469666,8,1.806225
-103.0,4,1.808068
-101.0,2,1.80809
-93.06771,4,1.81317
-100.62263,2,1.817791
-84.810814,9,1.822336
-96.01785,3,1.827616
-93.305466,5,1.832875
-96.226364,3,1.838969
-92.86075,5,1.845117
-86.29417,11,1.851885
-88.285995,9,1.851926
-99.56369,4,1.858001
-101.06166,4,1.870259
-97.11816,3,1.870734
-96.66941,3,1.876888
-91.47844,6,1.888755
-82.70463,9,1.895114
-97.66686,3,1.895578
-101.0,2,1.907039
-93.21109,4,1.922974
-87.5675,10,1.927727
-87.40973,10,1.927753
-94.66907,3,1.929924
-80.282974,9,1.931834
-94.23883,6,1.931858
-97.0062,3,1.933642
-101.0,2,1.93554
-93.65742,3,1.935563
-55.993603,22,1.937404
-101.0,2,1.939405
-98.19066,2,1.939428
-98.33856,4,1.93944
-90.422874,5,1.942956
-98.02497,2,1.942979
-94.473816,9,1.944754
-101.0,2,1.946651
-92.11904,4,1.946674
-95.27586,4,1.950191
-91.70672,6,1.950214
-89.46558,8,1.951988
-90.00374,5,1.953876
-101.0,2,1.953899
-97.45194,3,1.957427
-85.13051,6,1.95745
-98.99222,4,1.960882
-97.702965,3,1.962669
-82.20077,6,1.964457
-74.08272,11,1.966397
-85.92882,5,1.966422
-90.03981,4,1.968217
-81.59368,11,1.970001
-92.07991,6,1.975156
-88.020676,5,1.975179
-88.807014,6,1.976956
-94.66054,5,1.978842
-98.996284,2,1.978865
-95.17021,3,1.980759
-99.02909,2,1.980782
-85.42482,8,1.982568
-101.0,2,1.984574
-101.0,2,1.984597
-96.059975,3,1.98461
-97.20741,3,1.989782
-97.01222,3,1.989806
-88.38347,6,1.993343
-70.965706,17,1.993366
-95.01745,6,1.995136
-88.47172,5,1.998671
-97.23399,3,1.998694
-83.422005,12,2.000483
-97.82173,2,2.002268
-98.47341,5,2.004059
-89.86804,5,2.00745
-84.774155,6,2.010907
-93.836655,4,2.01093
-97.11574,3,2.012801
-90.244705,6,2.012824
-66.79524,15,2.016201
-92.438416,5,2.021319
-89.043045,16,2.02319
-93.16148,5,2.023213
-96.31347,4,2.024948
-97.03755,3,2.029867
-87.22117,6,2.032002
-83.88664,11,2.033825
-88.23716,8,2.037412
-70.17136,14,2.037435
-99.591805,4,2.041055
-96.328476,5,2.041078
-86.10665,6,2.041091
-97.01153,3,2.042827
-101.0,2,2.044589
-83.82717,13,2.046332
-93.57461,4,2.048204
-99.78982,2,2.048227
-92.99827,8,2.051638
-97.70949,3,2.053394
-97.04283,7,2.055139
-97.11558,3,2.058845
-96.7831,7,2.058871
-101.0,2,2.058883
-101.0,2,2.062535
-91.79538,8,2.062558
-98.91603,2,2.062571
-88.104675,13,2.06454
-99.67469,7,2.064563
-96.00202,3,2.064575
-100.06054,2,2.066624
-101.0,2,2.066648
-98.65534,2,2.068552
-97.48813,3,2.068574
-93.998566,3,2.070353
-92.25269,4,2.073857
-94.985535,4,2.07388
-83.01136,6,2.078844
-81.932785,7,2.082206
-93.106445,3,2.083989
-73.94521,14,2.088917
-95.47604,5,2.092389
-95.433754,6,2.092411
-94.133026,4,2.095852
-77.09718,13,2.095876
-74.04624,17,2.097618
-92.54135,4,2.09935
-93.25879,5,2.101254
-101.0,2,2.101277
-103.0,4,2.103226
-63.66904,17,2.103249
-98.34764,2,2.103261
-101.0,2,2.104988
-91.8103,6,2.106738
-96.48051,3,2.108625
-94.64405,4,2.108648
-91.64626,4,2.110536
-101.0,2,2.110558
-96.767944,3,2.114002
-100.37169,2,2.114025
-94.73974,4,2.115785
-73.36615,9,2.119158
-94.20023,4,2.122543
-90.21775,5,2.125913
-91.16628,7,2.127784
-79.94991,9,2.127807
-98.46404,5,2.12977
-101.0,2,2.129793
-93.17178,4,2.129805
-95.97066,3,2.133225
-97.02484,3,2.135106
-77.07565,18,2.138486
-89.47966,4,2.14034
-97.48858,3,2.140362
-86.185,7,2.142197
-96.232635,8,2.142219
-101.0,2,2.144066
-93.16096,3,2.144089
-100.94797,2,2.145826
