#{"t_start": 1732828815.355772, "env_id": "None"}
r,l,t
-93.161354,3,0.671253
-95.26966,6,0.676497
-78.55978,7,0.678341
-96.66127,5,0.680201
-101.0,2,0.682176
-83.53403,9,0.682202
-83.5338,10,0.684005
-99.335556,2,0.685834
-94.464584,3,0.688075
-86.56844,13,0.692696
-101.0,2,0.692731
-101.0,2,0.696637
-88.09268,9,0.696662
-82.29838,7,0.696676
-103.0,4,0.700304
-101.0,2,0.700328
-97.01729,3,0.702219
-98.19865,2,0.704198
-77.64886,10,0.706023
-97.16799,5,0.709773
-89.39336,7,0.709799
-97.64257,5,0.71343
-101.0,2,0.713453
-87.96513,7,0.715558
-89.45686,5,0.715593
-100.61725,4,0.717555
-90.38413,5,0.724448
-96.3969,5,0.724471
-81.9695,7,0.72626
-61.689793,20,0.728327
-87.4648,6,0.72835
-98.483635,2,0.728362
-101.0,2,0.730184
-101.0,2,0.732148
-101.0,2,0.732171
-101.0,2,0.735625
-97.10424,3,0.737594
-93.68605,4,0.73762
-97.48866,2,0.739667
-96.59398,6,0.73969
-72.995804,14,0.739702
-101.0,2,0.74149
-101.0,2,0.745121
-97.02494,3,0.745144
-103.0,4,0.746948
-95.6044,5,0.748783
-95.83833,3,0.750575
-101.0,2,0.754144
-74.30073,17,0.756246
-102.123665,4,0.756276
-81.70912,13,0.762258
-95.9095,5,0.765682
-80.83583,12,0.767562
-80.67822,11,0.767585
-93.85459,4,0.769445
-81.60696,8,0.769473
-97.030106,3,0.772926
-97.983505,3,0.774701
-93.99206,7,0.778232
-98.0744,2,0.778255
-89.63331,4,0.780004
-82.12143,14,0.781901
-92.31896,7,0.781923
-96.30449,3,0.783674
-95.56862,4,0.785447
-84.98029,11,0.787328
-101.14176,4,0.78735
-94.72548,4,0.789334
-103.0,4,0.789362
-101.0,2,0.792898
-100.115425,4,0.796338
-103.0,4,0.799698
-93.80951,4,0.806765
-90.471924,9,0.80679
-90.05007,9,0.806803
-101.0,2,0.810275
-85.46391,13,0.810297
-73.05992,15,0.812108
-93.04796,4,0.813975
-88.414505,10,0.813998
-92.253586,4,0.817674
-103.0,4,0.821204
-93.087906,6,0.821227
-84.25564,9,0.822987
-93.680214,4,0.824907
-101.0,2,0.824929
-97.20042,3,0.826801
-101.0,2,0.826823
-91.80406,6,0.835013
-101.0,2,0.838482
-78.91529,9,0.840247
-85.02835,9,0.842036
-79.88724,18,0.84388
-82.06625,10,0.843903
-100.83591,2,0.847218
-102.444176,4,0.848962
-88.59081,8,0.853971
-91.75738,7,0.855851
-49.207294,25,0.857621
-96.533264,7,0.859499
-97.80704,3,0.859522
-99.0805,2,0.863097
-94.262215,4,0.86312
-94.293205,3,0.863132
-90.094124,9,0.865078
-93.72612,3,0.8651
-101.0,2,0.866852
-101.0,2,0.868728
-70.900566,17,0.86875
-94.219604,4,0.872514
-99.07815,4,0.875968
-94.365036,7,0.87599
-96.25021,5,0.877845
-101.0,2,0.879601
-91.95003,8,0.881475
-92.04963,5,0.881498
-95.24918,3,0.884962
-94.87437,5,0.884984
-90.68189,5,0.886724
-101.0,2,0.888496
-73.16692,15,0.890384
-98.36231,2,0.890408
-98.75406,2,0.892172
-90.69713,5,0.895664
-97.016396,3,0.897405
-97.06982,3,0.899276
-101.0,2,0.899298
-78.08868,11,0.902665
-103.0,4,0.906477
-102.45822,4,0.906501
-99.17247,5,0.906513
-97.08574,3,0.911953
-95.77943,3,0.911981
-83.06427,7,0.915844
-93.33049,5,0.915877
-70.03464,18,0.915898
-97.99712,2,0.91591
-97.030716,3,0.920971
-95.46195,4,0.922734
-101.0,2,0.924504
-45.44301,20,0.927853
-94.52586,3,0.929609
-99.20174,2,0.931605
-95.67882,5,0.931627
-88.346146,11,0.931639
-99.68124,2,0.935098
-76.09647,11,0.935121
-73.50847,14,0.940061
-94.78483,6,0.941821
-85.50841,6,0.945188
-93.310356,3,0.946936
-91.95037,10,0.949026
-83.8277,8,0.949048
-101.0,2,0.94906
-81.15354,11,0.949069
-85.62233,6,0.950793
-98.38415,2,0.95255
-101.0,2,0.954588
-93.6442,4,0.959712
-95.72414,3,0.959736
-89.52595,8,0.963191
-101.0,2,0.963214
-100.10285,4,0.966677
-84.73163,10,0.966699
-97.53439,3,0.968459
-78.997055,13,0.970335
-88.60408,12,0.970358
-97.60916,2,0.973719
-90.597595,4,0.975709
-99.1624,5,0.975731
-85.19236,7,0.975744
-92.107895,5,0.979095
-96.51717,3,0.980959
-97.488266,3,0.980981
-99.106415,5,0.982722
-96.520454,3,0.984594
-100.352554,2,0.984617
-96.80065,3,0.98797
-87.39705,9,0.991484
-95.69014,6,0.991507
-87.59031,5,0.993254
-92.10303,6,0.995017
-89.54637,5,0.998491
-95.4904,3,1.000348
-93.06569,4,1.00037
-101.0,2,1.003748
-91.50402,4,1.007109
-59.659573,23,1.009267
-99.11065,5,1.016276
-92.49566,7,1.016301
-88.6994,13,1.016313
-92.70391,5,1.01839
-83.245544,13,1.020161
-97.92983,3,1.021929
-99.0856,4,1.023689
-90.38522,5,1.025482
-89.07718,5,1.027364
-68.019226,16,1.027386
-98.66538,4,1.029273
-95.81407,3,1.029294
-97.04704,3,1.032752
-95.32864,7,1.032774
-92.777756,4,1.03453
-90.75681,6,1.0365
-94.9817,4,1.036522
-101.0,2,1.036534
-99.03334,5,1.03833
-100.27166,4,1.043267
-93.64205,7,1.045018
-88.400665,6,1.046765
-81.791695,9,1.051854
-83.65267,8,1.051877
-96.15111,5,1.053617
-92.80157,6,1.05722
-96.807816,3,1.057242
-84.88867,8,1.057254
-86.496925,14,1.059008
-101.0,2,1.060775
-91.76085,5,1.062533
-94.59867,4,1.06427
-89.855644,5,1.066017
-88.645355,5,1.069486
-97.252815,3,1.069508
-97.07045,3,1.071268
-80.28829,12,1.073138
-100.66933,6,1.07316
-100.79944,9,1.07502
-98.05387,3,1.075042
-99.32711,4,1.076759
-97.288025,2,1.078512
-99.19364,5,1.080252
-100.80579,5,1.082014
-99.11721,2,1.085494
-103.0,4,1.085515
-91.641174,4,1.08726
-84.211395,9,1.090614
-87.75079,11,1.092391
-99.95203,5,1.09575
-97.6824,3,1.097694
-95.17244,4,1.104363
-81.00772,8,1.106122
-74.53588,13,1.109702
-100.843735,2,1.109724
-97.2115,6,1.109737
-97.26919,3,1.115125
-98.461975,4,1.117127
-59.18137,22,1.117186
-91.14319,6,1.120672
-97.00233,3,1.122602
-98.18614,3,1.122624
-56.30318,23,1.127712
-62.166973,16,1.133034
-91.00941,6,1.133057
-97.17843,3,1.13307
-88.18013,10,1.133079
-86.782265,8,1.13483
-101.0,2,1.136884
-99.35706,2,1.136906
-101.0,2,1.136919
-97.445885,3,1.138672
-85.861015,10,1.1404
-98.294754,3,1.142148
-99.100006,5,1.14573
-99.40104,5,1.145752
-87.60523,6,1.145765
-99.41886,2,1.149304
-99.7712,2,1.149326
-91.70551,5,1.149338
-98.55641,2,1.152807
-99.58323,2,1.152828
-93.09538,8,1.156177
-94.24633,4,1.159853
-84.958984,12,1.159875
-101.0,2,1.159889
-89.91715,6,1.159898
-86.80672,10,1.163346
-101.0,2,1.163368
-94.56962,3,1.165129
-86.04106,9,1.168588
-97.13837,3,1.168611
-92.835625,6,1.170485
-94.74009,6,1.170508
-95.57345,3,1.175539
-101.94041,4,1.175561
-89.58623,7,1.177314
-101.0,2,1.179302
-89.87964,5,1.179325
-88.72668,9,1.179337
-97.34662,3,1.181186
-85.00845,7,1.181208
-101.0,2,1.182946
-97.001114,3,1.184807
-92.564545,4,1.184828
-94.1181,4,1.186568
-93.07782,4,1.188322
-101.0,2,1.190065
-94.98595,4,1.191938
-96.752075,4,1.191959
-86.04096,7,1.195346
-95.75337,3,1.19711
-95.01951,5,1.198875
-94.36882,3,1.202348
-95.95623,7,1.205752
-90.93008,5,1.207641
-97.220505,3,1.207663
