#{"t_start": 1732827226.3993359, "env_id": "None"}
r,l,t
-101.0,2,1.100108
-97.56845,3,1.10188
-75.5481,14,1.106792
-91.69367,8,1.112077
-93.8475,11,1.1121
-90.6011,7,1.11212
-105.0,6,1.112137
-102.09073,4,1.113904
-85.11503,9,1.115656
-90.953094,4,1.119008
-92.99381,5,1.122555
-98.8123,5,1.12258
-94.31963,6,1.124459
-101.0,2,1.124482
-100.51961,5,1.126234
-96.93843,3,1.128006
-93.3372,4,1.129782
-98.44132,4,1.13165
-101.0,2,1.131674
-89.43239,5,1.133698
-101.0,2,1.135642
-96.14469,11,1.135665
-99.30659,2,1.137525
-90.43209,7,1.139487
-89.11933,5,1.139511
-101.0,2,1.13953
-98.028206,3,1.14128
-100.23996,2,1.143021
-92.21312,7,1.145016
-97.076706,3,1.14504
-101.85814,4,1.145059
-101.0,2,1.148389
-90.39305,4,1.150265
-95.00446,3,1.150288
-99.829124,4,1.152186
-85.46022,7,1.152209
-98.73998,2,1.15398
-101.0,2,1.1559
-90.61373,4,1.155923
-95.78643,3,1.161152
-85.816956,6,1.161175
-102.47305,4,1.161194
-83.279305,7,1.164699
-98.86079,2,1.164723
-86.08882,14,1.166457
-95.52705,4,1.168228
-94.77242,5,1.170094
-93.4716,8,1.170117
-99.87345,4,1.171858
-88.80728,5,1.173609
-97.35863,5,1.175371
-98.42862,3,1.177349
-99.16206,4,1.177372
-93.235565,4,1.177392
-101.0,2,1.180869
-97.815926,2,1.180892
-97.214355,3,1.182648
-101.0,2,1.184534
-100.54507,2,1.184557
-86.654854,10,1.186529
-90.39826,7,1.186552
-97.50364,2,1.186571
-98.292656,2,1.19016
-96.25306,3,1.190183
-101.0,2,1.190202
-90.48182,4,1.193799
-97.899315,3,1.195618
-84.42523,12,1.197378
-78.91417,8,1.199224
-86.81183,5,1.199248
-101.41081,6,1.201119
-99.52676,2,1.201142
-101.0,2,1.203067
-101.0,2,1.20309
-93.63945,7,1.206477
-97.53043,3,1.208459
-97.00411,3,1.208481
-94.250374,4,1.2085
-88.288055,7,1.213673
-79.02284,10,1.213696
-96.9183,3,1.213715
-99.97883,2,1.217121
-90.865616,4,1.220471
-93.38485,8,1.223967
-85.57039,10,1.225765
-85.80804,11,1.229234
-93.60752,6,1.229258
-88.900375,4,1.231139
-83.28453,9,1.231162
-101.0,2,1.23291
-96.883415,3,1.235015
-100.69458,2,1.237031
-86.52865,6,1.237055
-101.0,2,1.240724
-97.251045,3,1.240747
-88.792336,5,1.240767
-90.78,4,1.244121
-97.3943,3,1.245875
-93.23647,4,1.247761
-93.98082,14,1.247784
-96.42256,5,1.249527
-96.6752,3,1.251421
-99.33477,2,1.251443
-100.05088,5,1.253215
-96.36107,4,1.255077
-73.459984,13,1.2551
-97.731834,3,1.256873
-86.287964,7,1.261846
-92.20697,5,1.263705
-88.5608,7,1.263728
-93.75866,3,1.267093
-93.77484,4,1.270555
-83.8287,10,1.270578
-89.59564,11,1.273931
-97.03125,3,1.275808
-95.31657,7,1.275831
-93.5173,4,1.277815
-87.44676,12,1.277838
-87.95621,6,1.277857
-99.269714,2,1.279608
-93.90073,4,1.284639
-91.827614,5,1.284661
-98.3258,4,1.286412
-90.33549,8,1.291354
-91.635345,5,1.293262
-91.63736,10,1.295121
-97.13765,3,1.296922
-101.0,2,1.298717
-91.872215,4,1.300482
-97.28656,3,1.302296
-97.05935,3,1.305817
-88.821,13,1.307666
-81.75678,13,1.309465
-98.51947,3,1.311431
-101.0,2,1.311455
-94.35649,3,1.314841
-82.27024,8,1.316645
-100.30147,4,1.318543
-101.0,2,1.318566
-101.0,2,1.320343
-99.74482,2,1.322112
-94.12907,6,1.330671
-75.65677,17,1.330709
-95.19635,6,1.334342
-70.78803,33,1.334365
-101.0,2,1.334384
-99.76425,2,1.338101
-101.0,2,1.338126
-96.92187,4,1.338144
-97.202385,3,1.339895
-71.10255,16,1.341805
-101.0,2,1.341828
-96.755295,3,1.343569
-97.13946,3,1.345375
-88.27705,5,1.347677
-64.09983,14,1.347704
-101.0,2,1.347722
-97.00816,3,1.35282
-96.15397,5,1.356309
-100.580795,2,1.356332
-85.74194,12,1.363177
-92.839264,4,1.363201
-80.62548,10,1.363219
-100.24666,2,1.366679
-76.64101,11,1.366702
-96.97871,3,1.368516
-68.862885,16,1.370283
-94.69307,5,1.372164
-97.128784,3,1.372187
-94.75404,3,1.377277
-99.11259,6,1.377306
-89.78627,4,1.379051
-99.434494,2,1.380809
-95.392784,3,1.382569
-90.072624,9,1.384328
-101.0,2,1.386084
-101.0,2,1.387974
-103.0,4,1.387997
-89.10468,6,1.38975
-61.563614,20,1.391506
-97.68964,2,1.393452
-101.0,2,1.396904
-95.89067,7,1.398933
-96.0172,6,1.398956
-104.23293,6,1.398975
-101.0,2,1.402453
-101.0,2,1.402476
-89.11244,7,1.404371
-93.38751,4,1.404394
-90.71939,4,1.406319
-100.23146,2,1.406343
-95.248146,3,1.408149
-97.46553,3,1.410016
-101.0,2,1.410039
-97.24176,3,1.41644
-87.16358,5,1.420357
-89.051094,7,1.424085
-85.26395,11,1.437246
-88.07648,5,1.444884
-100.43413,8,1.448886
-80.33511,12,1.452924
-97.036514,5,1.457077
-98.11262,3,1.461332
-93.586716,4,1.461358
-101.0,2,1.46495
-100.54842,4,1.47173
-92.32368,6,1.475125
-78.80159,17,1.477131
-95.850685,3,1.477154
-84.65641,9,1.477175
-24.63913,46,1.482308
-95.35157,5,1.484282
-73.18999,10,1.48431
-97.0019,3,1.487955
-88.70669,6,1.487983
-99.234955,2,1.488
-87.53982,7,1.489789
-99.22483,4,1.491592
-93.17724,4,1.495431
-93.324715,3,1.495461
