#{"t_start": 1732836281.8321323, "env_id": "None"}
r,l,t
-96.0,2,0.673332
-96.0,2,0.673418
-92.0,3,0.675442
-96.0,2,0.67746
-96.0,2,0.677486
-84.0,5,0.679235
-92.0,3,0.68101
-76.0,7,0.682743
-96.0,2,0.684523
-92.0,3,0.6879
-72.0,8,0.691328
-76.0,7,0.69135
-92.0,3,0.693171
-84.0,5,0.693193
-88.0,4,0.69816
-84.0,5,0.701551
-96.0,2,0.701573
-28.0,19,0.703349
-92.0,3,0.708611
-92.0,3,0.708634
-68.0,9,0.710348
-96.0,2,0.712194
-60.0,11,0.712216
-20.0,21,0.715561
-88.0,4,0.719584
-80.0,6,0.719611
-88.0,4,0.719623
-92.0,3,0.72151
-96.0,2,0.723467
-60.0,11,0.726811
-92.0,3,0.729196
-88.0,4,0.729228
-84.0,5,0.731251
-92.0,3,0.731277
-92.0,3,0.733179
-60.0,11,0.733203
-92.0,3,0.735094
-96.0,2,0.735117
-92.0,3,0.737116
-80.0,6,0.740608
-88.0,4,0.744117
-84.0,5,0.744149
-88.0,4,0.748943
-96.0,2,0.748984
-76.0,7,0.748996
-72.0,8,0.749005
-92.0,3,0.750992
-96.0,2,0.752784
-92.0,3,0.756379
-92.0,3,0.758277
-84.0,5,0.758301
-76.0,7,0.761673
-92.0,3,0.763557
-88.0,4,0.763586
-84.0,5,0.767117
-96.0,2,0.767147
-24.0,20,0.770619
-92.0,3,0.772511
-84.0,5,0.77254
-96.0,2,0.775904
-36.0,17,0.779363
-88.0,4,0.779386
-92.0,3,0.781151
-96.0,2,0.782974
-96.0,2,0.786651
-92.0,3,0.786679
-88.0,4,0.786691
-64.0,10,0.788463
-52.0,13,0.790242
-92.0,3,0.792007
-88.0,4,0.793769
-92.0,3,0.795748
-84.0,5,0.795785
-80.0,6,0.800074
-96.0,2,0.803702
-80.0,6,0.807115
-76.0,7,0.81064
-96.0,2,0.81402
-60.0,11,0.815826
20.0,31,0.819378
-48.0,14,0.819403
-68.0,9,0.821648
-92.0,3,0.825061
-60.0,11,0.828625
-96.0,2,0.828647
-80.0,6,0.830406
-80.0,6,0.832152
-96.0,2,0.834081
-92.0,3,0.834103
-64.0,10,0.834114
-56.0,12,0.83582
-88.0,4,0.840904
-88.0,4,0.840926
-72.0,8,0.842753
-84.0,5,0.842775
-84.0,5,0.844612
-76.0,7,0.844634
-96.0,2,0.848
-88.0,4,0.848022
-96.0,2,0.851288
-84.0,5,0.853086
-88.0,4,0.854946
-96.0,2,0.856654
-88.0,4,0.858643
-68.0,9,0.858665
-64.0,10,0.858677
-64.0,10,0.860399
-96.0,2,0.86222
-88.0,4,0.862241
-96.0,2,0.86399
-84.0,5,0.865724
-84.0,5,0.867456
-92.0,3,0.869193
-92.0,3,0.871117
-76.0,7,0.871139
-96.0,2,0.87453
-76.0,7,0.874552
-72.0,8,0.876241
-88.0,4,0.878164
-96.0,2,0.878186
-96.0,2,0.878198
-80.0,6,0.879917
-72.0,8,0.881816
-88.0,4,0.883586
-88.0,4,0.885518
-92.0,3,0.88554
-88.0,4,0.885552
-80.0,6,0.889027
-92.0,3,0.890736
-80.0,6,0.892432
-96.0,2,0.894202
-80.0,6,0.896123
-88.0,4,0.896144
-76.0,7,0.896156
-92.0,3,0.897876
-92.0,3,0.899595
-96.0,2,0.901456
-92.0,3,0.901478
-88.0,4,0.903352
-88.0,4,0.903374
-92.0,3,0.906704
-84.0,5,0.913238
-40.0,16,0.915052
-72.0,8,0.91689
-64.0,10,0.918661
-92.0,3,0.920552
-96.0,2,0.920574
-60.0,11,0.924063
-96.0,2,0.924085
-92.0,3,0.925851
-84.0,5,0.927805
-96.0,2,0.927827
-56.0,12,0.929646
-96.0,2,0.929669
-96.0,2,0.931493
-96.0,2,0.931515
-88.0,4,0.938596
-84.0,5,0.940316
-72.0,8,0.944195
-56.0,12,0.945893
-96.0,2,0.947696
-96.0,2,0.951092
-88.0,4,0.952853
-92.0,3,0.956943
-8.0,24,0.956979
-60.0,11,0.958824
-92.0,3,0.958846
-96.0,2,0.96368
-96.0,2,0.971155
-44.0,15,0.975281
-84.0,5,0.975303
-76.0,7,0.978927
-92.0,3,0.982918
-88.0,4,0.990471
-4.0,25,0.990494
-88.0,4,0.994063
-96.0,2,0.998205
-96.0,2,0.998228
-96.0,2,1.002361
-84.0,5,1.002383
-96.0,2,1.00606
-96.0,2,1.010283
-96.0,2,1.01033
-96.0,2,1.019268
-92.0,3,1.027215
-96.0,2,1.035878
-96.0,2,1.04325
-36.0,17,1.047414
-12.0,23,1.047439
-60.0,11,1.047451
-68.0,9,1.054879
-96.0,2,1.054904
-60.0,11,1.058864
-92.0,3,1.058888
-96.0,2,1.065302
-84.0,5,1.068782
-96.0,2,1.068806
-96.0,2,1.072337
-76.0,7,1.07236
-64.0,10,1.07421
-60.0,11,1.074232
-72.0,8,1.076098
-88.0,4,1.076121
-92.0,3,1.078055
-96.0,2,1.078077
-96.0,2,1.079931
-92.0,3,1.079953
-88.0,4,1.08342
-96.0,2,1.083442
-72.0,8,1.086869
-84.0,5,1.088735
-92.0,3,1.088758
-72.0,8,1.09222
-92.0,3,1.092242
-92.0,3,1.094006
-88.0,4,1.095867
-76.0,7,1.095889
-60.0,11,1.097632
-92.0,3,1.099396
-92.0,3,1.101141
-92.0,3,1.104667
-76.0,7,1.104689
-84.0,5,1.10644
-96.0,2,1.108413
-96.0,2,1.108435
-88.0,4,1.108459
-92.0,3,1.11179
-92.0,3,1.113511
-88.0,4,1.117284
-52.0,13,1.117314
-88.0,4,1.117325
-92.0,3,1.12269
-92.0,3,1.122713
-88.0,4,1.122725
-40.0,16,1.126281
-96.0,2,1.126303
-96.0,2,1.126315
-80.0,6,1.128066
-84.0,5,1.131694
-92.0,3,1.131716
-96.0,2,1.135294
-88.0,4,1.135317
-92.0,3,1.137186
-48.0,14,1.13913
-96.0,2,1.139152
-92.0,3,1.140898
-68.0,9,1.142655
-64.0,10,1.144505
-88.0,4,1.144527
-96.0,2,1.146491
-92.0,3,1.146513
-88.0,4,1.146524
-76.0,7,1.151439
-96.0,2,1.154957
-84.0,5,1.154979
-80.0,6,1.156825
-76.0,7,1.156847
-72.0,8,1.158613
-72.0,8,1.168346
-44.0,15,1.171853
-68.0,9,1.171875
-88.0,4,1.175245
-52.0,13,1.177012
-96.0,2,1.180481
-48.0,14,1.180503
-44.0,15,1.183864
-72.0,8,1.185627
-64.0,10,1.189152
-84.0,5,1.189174
-68.0,9,1.191034
-92.0,3,1.191056
-96.0,2,1.194519
-72.0,8,1.194541
-96.0,2,1.197881
-72.0,8,1.203039
-72.0,8,1.203061
-92.0,3,1.203073
-56.0,12,1.204875
-76.0,7,1.206624
-96.0,2,1.208367
-88.0,4,1.210125
-96.0,2,1.212095
-84.0,5,1.212116
-56.0,12,1.212128
-96.0,2,1.21387
-84.0,5,1.21564
-92.0,3,1.219308
-92.0,3,1.219334
-96.0,2,1.221205
-64.0,10,1.222962
-84.0,5,1.224918
-92.0,3,1.22494
-80.0,6,1.224951
-96.0,2,1.226769
-88.0,4,1.22679
-88.0,4,1.228535
-96.0,2,1.230331
-88.0,4,1.23223
-92.0,3,1.234107
-84.0,5,1.235828
-76.0,7,1.237654
-96.0,2,1.23936
-76.0,7,1.242729
-80.0,6,1.24275
-92.0,3,1.244566
-80.0,6,1.244587
-92.0,3,1.247978
-92.0,3,1.248
-88.0,4,1.251262
-84.0,5,1.256113
-24.0,20,1.259569
-68.0,9,1.25959
-52.0,13,1.259602
-88.0,4,1.262863
-92.0,3,1.264678
-64.0,10,1.264699
-84.0,5,1.267976
-88.0,4,1.269784
-60.0,11,1.269806
-96.0,2,1.271677
-76.0,7,1.271699
-80.0,6,1.274956
-96.0,2,1.278342
-84.0,5,1.278364
-96.0,2,1.281741
-76.0,7,1.281762
-92.0,3,1.286748
-52.0,13,1.28677
-56.0,12,1.291596
-76.0,7,1.293314
-60.0,11,1.296589
-40.0,16,1.298417
-76.0,7,1.298439
-96.0,2,1.30182
-84.0,5,1.301841
-88.0,4,1.30517
-92.0,3,1.307096
-56.0,12,1.307118
-68.0,9,1.30713
-88.0,4,1.308841
-92.0,3,1.313901
-88.0,4,1.313922
-88.0,4,1.313934
-84.0,5,1.315779
-56.0,12,1.317618
-92.0,3,1.322712
-64.0,10,1.324552
-84.0,5,1.324574
-80.0,6,1.326291
-84.0,5,1.327998
-72.0,8,1.329698
-84.0,5,1.3368
-72.0,8,1.336824
-68.0,9,1.340384
-72.0,8,1.340406
-80.0,6,1.340418
-92.0,3,1.342231
-92.0,3,1.342253
-60.0,11,1.343967
-96.0,2,1.345789
-92.0,3,1.34581
-88.0,4,1.347642
-96.0,2,1.347664
-92.0,3,1.352737
-88.0,4,1.352763
-84.0,5,1.354717
-76.0,7,1.354739
-96.0,2,1.356569
-84.0,5,1.356591
-96.0,2,1.358301
-56.0,12,1.361621
-88.0,4,1.363452
-92.0,3,1.363474
-80.0,6,1.366782
-88.0,4,1.370559
