#{"t_start": 1732833305.2233725, "env_id": "None"}
r,l,t
-98.24951,2,0.611473
-98.24951,2,0.611543
-97.59299,2,0.611558
-93.76877,4,0.615154
-92.12701,4,0.615182
-89.87335,5,0.617067
-96.96635,3,0.617094
-93.05201,4,0.618847
-98.118965,2,0.620681
-94.5652,3,0.622591
-86.5755,6,0.622615
-98.118965,2,0.624378
-98.118965,2,0.627913
-78.537415,9,0.631814
-73.75537,10,0.633977
-96.25073,3,0.634016
-79.79831,9,0.635963
-93.03347,4,0.643407
-79.9409,8,0.652001
-84.560524,8,0.65204
-77.92424,11,0.656211
-98.04573,2,0.656239
-97.348595,2,0.656251
-97.15869,2,0.660112
-69.05089,18,0.660138
-98.24951,2,0.66015
-52.0095,18,0.660161
-88.57211,8,0.661997
-97.619156,2,0.663858
-93.102356,4,0.66388
-96.08617,3,0.665608
-98.24951,2,0.667354
-92.95192,4,0.66911
-93.06565,6,0.671103
-98.24951,2,0.671127
-96.440796,3,0.67114
-82.56416,7,0.672862
-97.60211,2,0.675244
-98.054504,2,0.675276
-95.62175,4,0.678953
-98.24951,2,0.678978
-86.50242,9,0.680818
-96.74149,4,0.68084
-88.99042,5,0.68436
-97.693985,3,0.684382
-98.24951,2,0.684395
-96.8777,3,0.689288
-75.93028,13,0.692578
-88.69627,6,0.694486
-81.79042,8,0.694509
-83.21452,7,0.69624
-80.85385,12,0.699661
-95.05807,3,0.699683
-91.223206,7,0.701448
-83.676414,7,0.704865
-93.89144,3,0.704888
-88.68503,6,0.706836
-95.188774,3,0.706858
-96.66975,4,0.706871
-84.519714,8,0.708596
-94.67745,3,0.71032
-91.6813,4,0.713619
-91.26487,5,0.715349
-88.29296,6,0.718651
-92.982895,4,0.720381
-77.17384,10,0.723688
-87.93514,6,0.725419
-72.932236,10,0.727148
-93.95514,3,0.728992
-89.82488,5,0.729015
-96.140755,3,0.732649
-92.6815,4,0.732671
-98.118965,2,0.732684
-97.61532,2,0.732694
-86.047745,9,0.734574
-60.924915,17,0.734609
-94.78645,3,0.739834
-97.64005,2,0.73987
-88.97393,5,0.745112
-95.0142,3,0.745136
-97.58604,3,0.745148
-97.766716,2,0.748703
-82.0427,9,0.752036
-70.92803,10,0.753768
-92.40289,5,0.755607
-93.15714,5,0.75563
-82.011536,12,0.757643
-87.11302,6,0.763665
-94.338646,4,0.763694
-75.533165,9,0.767014
-90.6248,4,0.77037
-76.377716,11,0.773775
-94.6383,4,0.773798
-97.10226,3,0.776063
-73.26633,11,0.777804
-94.19258,3,0.779592
-98.24951,2,0.781306
-97.89611,2,0.783023
-74.30383,12,0.784743
-98.118965,2,0.786462
-87.94983,7,0.788182
-93.340775,4,0.794841
-51.924267,22,0.794871
-69.29809,13,0.796614
-78.971596,10,0.798586
-87.07104,7,0.798609
-98.24951,2,0.798621
-98.118965,2,0.8021
-98.24951,2,0.802122
-97.60129,2,0.805452
-80.2367,9,0.810754
-96.62574,4,0.812551
-67.86783,12,0.817467
-96.661575,3,0.817489
-55.547825,20,0.819168
-73.578964,13,0.823937
-63.826675,16,0.82563
-94.50172,4,0.830554
-83.11691,12,0.830582
-92.910286,5,0.833833
-68.44216,12,0.837128
-78.14545,12,0.838926
-61.32439,13,0.83895
-78.79056,9,0.845308
-86.39494,6,0.848558
-70.37591,12,0.850322
-97.51204,2,0.853862
-94.206894,4,0.853885
-94.42848,3,0.85913
-96.4674,4,0.860867
-65.69893,16,0.862612
-81.83447,8,0.870042
-84.38397,7,0.881641
-55.71462,18,0.88167
-94.59006,4,0.88528
-49.472828,21,0.889474
-98.118965,2,0.889921
-88.768845,7,0.88995
-98.14909,2,0.898152
-96.12595,3,0.898186
-95.1772,4,0.914261
-88.16399,7,0.926511
-68.09538,13,0.93503
-98.24951,2,0.935057
-79.20846,11,0.935069
-85.79546,6,0.939195
-74.3964,14,0.9474
-96.314964,4,0.952016
-94.742744,4,0.960097
-45.26501,24,0.960132
-94.03137,5,0.960147
-96.636185,3,0.963829
-98.24951,2,0.963853
-97.45728,3,0.965609
-98.24951,2,0.967457
-91.64965,4,0.967479
-97.1798,3,0.970794
-92.4,4,0.974088
-71.721146,14,0.975817
-66.02394,14,0.980827
-97.111496,3,0.98085
-98.24951,2,0.984266
-83.52169,8,0.984288
-96.32238,3,0.989153
-90.730125,10,0.990915
-98.118965,2,0.992774
-84.803055,7,0.992801
-97.756454,2,0.996412
-84.99599,7,0.996434
-59.50486,17,0.996447
-90.57743,6,1.001647
-96.75468,3,1.001669
-96.79674,3,1.001681
-92.90091,5,1.001691
-91.32451,6,1.006611
-41.967518,26,1.008329
-86.89299,6,1.011622
-89.86001,7,1.013571
-85.21271,7,1.013592
-94.50029,4,1.013604
-83.94256,9,1.01689
-96.68553,4,1.018613
-93.11882,4,1.020358
-98.07672,3,1.022078
-79.334175,9,1.0238
-96.88467,3,1.027108
-97.191154,3,1.02894
-90.12713,5,1.028962
-98.24951,2,1.032469
