#{"t_start": 1732828023.837874, "env_id": "None"}
r,l,t
-80.0,6,1.161153
-96.0,2,1.164683
-92.0,3,1.170023
-84.0,5,1.17005
-68.0,9,1.171904
-76.0,7,1.171926
-68.0,9,1.173696
-96.0,2,1.175601
-72.0,8,1.175622
-92.0,3,1.177474
-96.0,2,1.177495
-96.0,2,1.179408
-84.0,5,1.179429
-92.0,3,1.181171
-96.0,2,1.184559
-84.0,5,1.188218
-80.0,6,1.188239
-84.0,5,1.188251
-92.0,3,1.193357
-92.0,3,1.193379
-80.0,6,1.195115
-84.0,5,1.196879
-40.0,16,1.198621
-52.0,13,1.20037
-92.0,3,1.20224
-84.0,5,1.202261
-96.0,2,1.203992
-88.0,4,1.205852
-96.0,2,1.205873
-96.0,2,1.207609
-88.0,4,1.209371
-92.0,3,1.211126
-88.0,4,1.212881
-56.0,12,1.21463
-56.0,12,1.216376
-92.0,3,1.21811
-84.0,5,1.219987
-80.0,6,1.220008
-96.0,2,1.223405
-84.0,5,1.225153
-84.0,5,1.227026
-76.0,7,1.227047
-48.0,14,1.232147
-80.0,6,1.235563
-84.0,5,1.235585
-96.0,2,1.238943
-92.0,3,1.240696
-52.0,13,1.244164
-96.0,2,1.244186
-56.0,12,1.249625
-92.0,3,1.249654
-88.0,4,1.251413
-48.0,14,1.253275
-60.0,11,1.253296
-92.0,3,1.25506
-96.0,2,1.256815
-60.0,11,1.258674
-92.0,3,1.258695
-92.0,3,1.260439
-80.0,6,1.262197
-92.0,3,1.263941
-84.0,5,1.26569
-64.0,10,1.267728
-96.0,2,1.267754
-96.0,2,1.271257
-96.0,2,1.271279
-76.0,7,1.274648
-92.0,3,1.276451
-52.0,13,1.281427
-52.0,13,1.283182
-68.0,9,1.291351
-60.0,11,1.293108
-36.0,17,1.294982
-72.0,8,1.295004
-72.0,8,1.296872
-44.0,15,1.296893
-96.0,2,1.298625
-84.0,5,1.300389
-80.0,6,1.303859
-88.0,4,1.303881
-88.0,4,1.305752
-92.0,3,1.305773
-72.0,8,1.309171
-92.0,3,1.311052
-72.0,8,1.311074
-84.0,5,1.314636
-80.0,6,1.314657
-96.0,2,1.314669
-92.0,3,1.316549
-76.0,7,1.31657
-96.0,2,1.318297
-96.0,2,1.320144
-92.0,3,1.320165
-92.0,3,1.325137
-80.0,6,1.328567
-72.0,8,1.328588
-92.0,3,1.330337
-52.0,13,1.332092
-64.0,10,1.334126
-96.0,2,1.334147
-96.0,2,1.337424
-64.0,10,1.33919
-92.0,3,1.342761
-88.0,4,1.342783
-88.0,4,1.342795
-92.0,3,1.344538
-96.0,2,1.34837
-88.0,4,1.350129
-84.0,5,1.35325
-80.0,6,1.356976
-44.0,15,1.36591
-44.0,15,1.365937
-84.0,5,1.36595
-88.0,4,1.370165
-92.0,3,1.370198
-96.0,2,1.3745
-80.0,6,1.374523
-92.0,3,1.378549
-88.0,4,1.382618
-84.0,5,1.389605
-84.0,5,1.393684
-80.0,6,1.400273
-68.0,9,1.402054
-76.0,7,1.403815
-76.0,7,1.407275
-88.0,4,1.409123
-72.0,8,1.410985
-52.0,13,1.411007
-92.0,3,1.41278
-96.0,2,1.414537
-76.0,7,1.416307
-64.0,10,1.418054
-88.0,4,1.419791
-88.0,4,1.421572
-96.0,2,1.423454
-88.0,4,1.423476
-92.0,3,1.428623
-80.0,6,1.428645
-96.0,2,1.432117
-80.0,6,1.432138
-52.0,13,1.433998
-48.0,14,1.434019
-76.0,7,1.43598
-96.0,2,1.436001
-96.0,2,1.437612
-92.0,3,1.441109
-92.0,3,1.442982
-92.0,3,1.443003
-88.0,4,1.444744
-64.0,10,1.448092
-96.0,2,1.4515
-80.0,6,1.453353
-80.0,6,1.453374
-72.0,8,1.455264
-80.0,6,1.455285
-56.0,12,1.45706
-96.0,2,1.46043
-84.0,5,1.462301
-84.0,5,1.462322
-76.0,7,1.464061
-92.0,3,1.465849
-88.0,4,1.46945
-72.0,8,1.469478
-88.0,4,1.471273
-88.0,4,1.473067
-92.0,3,1.474867
-92.0,3,1.476672
-92.0,3,1.48033
-80.0,6,1.480351
-96.0,2,1.480364
-96.0,2,1.483774
-32.0,18,1.487319
-88.0,4,1.487341
-92.0,3,1.489127
-96.0,2,1.492546
-88.0,4,1.49433
-84.0,5,1.496129
-60.0,11,1.499543
-16.0,22,1.501677
-84.0,5,1.5017
-88.0,4,1.501712
-92.0,3,1.501721
-96.0,2,1.505154
-84.0,5,1.508552
-88.0,4,1.51198
-76.0,7,1.513887
-76.0,7,1.513909
-8.0,24,1.515695
-68.0,9,1.517504
-88.0,4,1.519308
-88.0,4,1.521355
-88.0,4,1.521377
-76.0,7,1.521389
-88.0,4,1.52319
-96.0,2,1.525185
-96.0,2,1.525207
-96.0,2,1.525218
-84.0,5,1.528637
-88.0,4,1.530538
-92.0,3,1.53056
-72.0,8,1.532337
-92.0,3,1.534368
-96.0,2,1.534389
-84.0,5,1.534401
-96.0,2,1.536312
-80.0,6,1.536334
-80.0,6,1.54306
-76.0,7,1.548326
-80.0,6,1.548347
-92.0,3,1.548359
-64.0,10,1.553668
-92.0,3,1.553691
-60.0,11,1.555603
-88.0,4,1.555625
-96.0,2,1.559544
-92.0,3,1.559567
-92.0,3,1.56135
-84.0,5,1.563321
-48.0,14,1.563343
-68.0,9,1.565141
-96.0,2,1.568622
-88.0,4,1.570699
-80.0,6,1.570722
-80.0,6,1.570734
-96.0,2,1.574132
-76.0,7,1.576111
-92.0,3,1.576132
-88.0,4,1.576143
-96.0,2,1.57951
-80.0,6,1.581276
-88.0,4,1.583044
-96.0,2,1.5864
-40.0,16,1.589756
-68.0,9,1.59173
-92.0,3,1.591752
-80.0,6,1.591764
-96.0,2,1.59512
-52.0,13,1.596905
-96.0,2,1.60029
-76.0,7,1.60204
-76.0,7,1.603798
-92.0,3,1.605617
-40.0,16,1.607373
-72.0,8,1.609246
-92.0,3,1.609267
-88.0,4,1.612738
-92.0,3,1.612759
-92.0,3,1.614507
-48.0,14,1.61638
-88.0,4,1.616402
-88.0,4,1.621634
-84.0,5,1.621656
-92.0,3,1.621668
-88.0,4,1.623425
-96.0,2,1.625188
-96.0,2,1.627156
-72.0,8,1.627177
-48.0,14,1.627188
-80.0,6,1.632361
-92.0,3,1.632382
-88.0,4,1.632394
-76.0,7,1.634253
-88.0,4,1.634274
-96.0,2,1.636025
-92.0,3,1.637913
-92.0,3,1.637935
-84.0,5,1.644581
-52.0,13,1.651115
-72.0,8,1.653014
-84.0,5,1.653035
-68.0,9,1.654879
-56.0,12,1.656679
-92.0,3,1.658633
-92.0,3,1.660511
-96.0,2,1.662385
-84.0,5,1.666069
-36.0,17,1.668254
-92.0,3,1.668278
-88.0,4,1.66829
-68.0,9,1.668299
-64.0,10,1.671842
-96.0,2,1.671865
-92.0,3,1.673618
-96.0,2,1.677025
-76.0,7,1.678829
-68.0,9,1.683764
-68.0,9,1.687249
-80.0,6,1.687275
-96.0,2,1.690646
-96.0,2,1.694046
-96.0,2,1.69741
-56.0,12,1.699168
-72.0,8,1.700919
-96.0,2,1.702688
-88.0,4,1.704569
-28.0,19,1.70459
-96.0,2,1.707942
-88.0,4,1.709703
-4.0,25,1.711675
-88.0,4,1.711696
-96.0,2,1.711707
-76.0,7,1.713571
-96.0,2,1.713592
-96.0,2,1.715345
-92.0,3,1.717101
-96.0,2,1.71895
-84.0,5,1.722583
-96.0,2,1.722605
-16.0,22,1.722617
-76.0,7,1.729168
-96.0,2,1.73251
-76.0,7,1.734264
-52.0,13,1.736145
-72.0,8,1.736166
-68.0,9,1.737913
-92.0,3,1.739777
-40.0,16,1.739799
-92.0,3,1.741532
-84.0,5,1.746672
-96.0,2,1.746695
-88.0,4,1.748566
-72.0,8,1.748589
-84.0,5,1.750348
-92.0,3,1.753819
-72.0,8,1.753841
-92.0,3,1.759148
-72.0,8,1.760916
-68.0,9,1.762704
-68.0,9,1.76451
-92.0,3,1.76627
-84.0,5,1.76842
-96.0,2,1.768445
-64.0,10,1.768457
-52.0,13,1.776764
-68.0,9,1.778515
-72.0,8,1.781872
-68.0,9,1.783664
-60.0,11,1.785435
-96.0,2,1.787218
-88.0,4,1.79396
-76.0,7,1.793982
-40.0,16,1.795859
-80.0,6,1.79588
-96.0,2,1.799416
-92.0,3,1.799437
-92.0,3,1.801229
-44.0,15,1.804623
-36.0,17,1.806607
-92.0,3,1.806629
-88.0,4,1.806641
-92.0,3,1.810002
-64.0,10,1.816654
-80.0,6,1.816675
-76.0,7,1.818426
-80.0,6,1.820195
-40.0,16,1.821979
-96.0,2,1.823748
-60.0,11,1.825733
-88.0,4,1.825755
-84.0,5,1.825767
-96.0,2,1.829122
-80.0,6,1.832513
-80.0,6,1.834272
-72.0,8,1.839247
-84.0,5,1.841223
-48.0,14,1.841244
-68.0,9,1.841256
-96.0,2,1.843001
-84.0,5,1.852923
-80.0,6,1.852945
-68.0,9,1.858013
-36.0,17,1.859853
-28.0,19,1.868398
-68.0,9,1.868454
-76.0,7,1.870359
-84.0,5,1.876928
-40.0,16,1.880648
-80.0,6,1.88067
-56.0,12,1.880682
-76.0,7,1.880691
-12.0,23,1.882445
-88.0,4,1.884181
-96.0,2,1.885972
-96.0,2,1.887745
-84.0,5,1.889499
-88.0,4,1.892959
-92.0,3,1.892981
-92.0,3,1.897941
-60.0,11,1.899805
-88.0,4,1.899827
-48.0,14,1.904902
-92.0,3,1.904924
-44.0,15,1.906676
-96.0,2,1.90844
-96.0,2,1.910202
-52.0,13,1.912082
-96.0,2,1.912103
-76.0,7,1.917261
-60.0,11,1.917282
-64.0,10,1.917294
-80.0,6,1.922403
-92.0,3,1.922425
-88.0,4,1.924284
-88.0,4,1.924305
-96.0,2,1.927646
-88.0,4,1.929514
-64.0,10,1.929535
-80.0,6,1.93289
-44.0,15,1.936359
-76.0,7,1.936381
-84.0,5,1.938229
-84.0,5,1.93825
-96.0,2,1.941597
-88.0,4,1.94337
-96.0,2,1.945459
-88.0,4,1.946955
-80.0,6,1.948793
-92.0,3,1.952292
-88.0,4,1.952314
-88.0,4,1.9542
-96.0,2,1.956252
-44.0,15,1.956274
-96.0,2,1.956285
-96.0,2,1.95822
-84.0,5,1.958243
-92.0,3,1.962234
-92.0,3,1.962256
-92.0,3,1.962268
-96.0,2,1.962277
-36.0,17,1.965792
-96.0,2,1.965814
-92.0,3,1.967551
-64.0,10,1.976137
-84.0,5,1.976164
-80.0,6,1.976176
-92.0,3,1.981153
-64.0,10,1.98303
-88.0,4,1.983052
-84.0,5,1.984823
-88.0,4,1.98985
-84.0,5,1.99161
-76.0,7,1.993377
-28.0,19,1.99513
-24.0,20,1.996891
-92.0,3,2.001921
-80.0,6,2.003814
-60.0,11,2.003835
-96.0,2,2.007195
